respondent_id,score,comment,date,customer_segment
R022,8,"Воронка продаж настраивается гибко. Под наш b2b-цикл подошло идеально.",2025-11-09,enterprise
R023,5,"Не плохо и не хорошо. Есть косяки, но у конкурентов не лучше.",2025-11-09,smb
R024,3,"Заказали доставку на конкретную дату — привезли на 4 дня позже. Клиент остался без подарка на день рождения.",2025-11-10,individual
R025,7,"Удобно, что всё в одном месте: задачи, клиенты, сделки. Не надо переключаться между сервисами.",2025-11-10,smb
R026,10,"Ваш onboarding — лучший, что я видел. Менеджер Алексей всё разжевал за одну встречу.",2025-11-10,enterprise
R027,2,"Поддержка работает только в рабочее время. У нас магазин до 22:00 — если что-то падает вечером, мы одни.",2025-11-11,smb
R028,6,"Функционал есть, но UX из 2015 года. Кнопки мелкие, навигация нелогичная.",2025-11-11,smb
R029,4,"Каждый месяц приходит счёт с разной суммой. Никакой прозрачности в ценообразовании.",2025-11-11,smb
R030,9,"Дашборд руководителя — огонь. Вижу всё по отделу за 30 секунд.",2025-11-12,enterprise
R031,8,"Переехали на ваш сервис полгода назад. Миграция прошла гладко, данные не потеряли.",2025-11-12,enterprise
R032,1,"Отправили товар не по тому адресу. Перенаправление заняло ещё неделю. Клиент ушёл.",2025-11-12,smb
R033,7,"Рассылки работают хорошо. Open rate вырос на 15% после перехода к вам.",2025-11-13,smb
R034,3,"Скачок цен с Нового года — плюс 40%. Предупредили за 2 недели. Бюджет уже утверждён, спасибо.",2025-11-13,enterprise
R035,5,"Ну такое. Работает, но без энтузиазма. Интерфейс не менялся год.",2025-11-13,smb
R036,10,"Ваш API сэкономил нам на разработке — подключили за 2 дня, а не за месяц, как планировали.",2025-11-14,enterprise
R037,2,"Три раза обращался с одной проблемой. Каждый раз новый оператор, каждый раз с нуля. Нет истории обращений?",2025-11-14,smb
R038,8,"Маркетплейс интеграций — удобная штука. Подключили телефонию за 10 минут.",2025-11-14,enterprise
R039,6,"Продукт мощный, спору нет. Но разобраться в настройках без документации нереально. А документация неполная.",2025-11-15,enterprise
R040,4,"Доставка в регионы — отдельная история. Москва и Питер — нормально. Всё остальное — лотерея.",2025-11-15,smb
R041,9,"Работаем 3 года, ни разу не было серьёзного сбоя. Стабильность — главное, что ценим.",2025-11-15,enterprise
R042,0,"Удалили наш аккаунт 'по ошибке'. Восстановление заняло 2 недели. Часть данных потеряна навсегда.",2025-11-16,enterprise
R043,7,"Нравится система тегов для клиентов. Сегментация стала проще.",2025-11-16,smb
R044,3,"Мобильное приложение — пустая трата времени. Лучше бы его не было, чем такое.",2025-11-16,smb
R045,8,"Экспорт в PDF — мелочь, но очень нужная. Спасибо, что наконец добавили.",2025-11-17,smb
R046,5,"Средне. Есть плюсы, есть минусы. Менять лень, оставаться — терпимо.",2025-11-17,smb
R047,2,"Ценник растёт каждые 6 месяцев, а функционал — нет. Мы платим за то же самое всё больше.",2025-11-17,enterprise
R048,10,"Telegram-бот для уведомлений — гениально. Менеджеры видят заявки мгновенно.",2025-11-18,smb
R049,6,"Есть ощущение, что enterprise-клиентам уделяют больше внимания. Мы на среднем тарифе и нас игнорируют.",2025-11-18,smb
R050,4,"После обновления в октябре сломался импорт контактов. Исправили только через 3 недели.",2025-11-18,enterprise
R051,9,"Сквозная аналитика считает ROI по каналам. Маркетолог перестал гадать, что работает.",2025-11-19,enterprise
R052,1,"Позвонил в поддержку, робот 5 минут перенаправлял между отделами. Потом сбросил. Позвонил снова — та же история.",2025-11-19,individual
R053,8,"Для агентства недвижимости — самая удобная CRM из тех, что пробовали. Объекты, клиенты, показы — всё на месте.",2025-11-19,smb
R054,3,"Доставка курьером — приехал без сдачи, терминала нет, наличными не берёт. Как так?",2025-11-20,individual
R055,7,"Вебхуки работают стабильно. Интеграция с нашей системой не потребовала костылей.",2025-11-20,enterprise
R056,5,"Ничего особенного. Стандартная CRM, стандартные функции.",2025-11-20,smb
R057,2,"Поддержка отвечает через бота, который не понимает суть проблемы. До живого человека не добраться.",2025-11-21,smb
R058,10,"Автоматические напоминания клиентам сократили no-show на 40%. Реальный результат.",2025-11-21,smb
R059,6,"Когда всё работает — отлично. Но раз в месяц что-то ломается, и начинается цирк с поддержкой.",2025-11-21,smb
R060,4,"Тариф 'Про' стоит 15 000 в месяц, а единственная разница с базовым — 5 дополнительных отчётов. Несерьёзно.",2025-11-22,smb
R061,9,"Настроили автоматическое распределение заявок между менеджерами. Обрабатываем на 30% больше лидов.",2025-11-22,enterprise
R062,8,"Красивые email-шаблоны из коробки. Дизайнер не нужен.",2025-11-22,smb
R063,1,"Написал в поддержку 18 ноября. Сегодня 22-е — ответа нет. Ни письма, ни звонка, ни сообщения.",2025-11-23,smb
R064,7,"Фильтры по сделкам удобные. Быстро нахожу нужное среди тысячи записей.",2025-11-23,smb
R065,3,"Привезли разбитый товар. Оформил возврат — отказали, потому что 'повреждения не зафиксированы при получении'. Курьер торопил подписать.",2025-11-23,individual
R066,5,"Нормально, но не впечатляет. За эту цену ожидал большего.",2025-11-24,smb
R067,10,"Отдельное спасибо за возможность кастомизации полей. Адаптировали под наш процесс за день.",2025-11-24,enterprise
R068,4,"Каждый раз, когда нужна помощь поддержки, приходится ждать ответ как письмо из прошлого века.",2025-11-24,smb
R069,2,"Подписка автоматически продлилась, хотя я отменил за неделю. Деньги списали, возвращать отказываются.",2025-11-25,individual
R070,8,"Массовые операции — находка. Обновил 500 контактов за пару кликов.",2025-11-25,enterprise
R071,6,"Работает, но мобильная версия сайта — страдание. На телефоне пользоваться невозможно.",2025-11-25,smb
R072,9,"Перевели отдел продаж из 12 человек — все довольны. Обучение заняло 3 дня.",2025-11-26,enterprise
R073,3,"Доставка обещала 2–3 дня, реально — 10. И это Москва, не деревня.",2025-11-26,individual
R074,7,"Уведомления о просроченных задачах — полезно. Менеджеры перестали забывать про follow-up.",2025-11-26,smb
R075,1,"Техническая поддержка — фикция. Закрывают тикеты без решения. Три раза открывал один и тот же.",2025-11-27,enterprise
R076,5,"Терпимо. Пользуюсь, потому что мигрировать куда-то — тоже боль.",2025-11-27,smb
R077,10,"Лучшая CRM для малого бизнеса. Говорю как человек, сменивший четыре системы за 5 лет.",2025-11-27,smb
R078,4,"Цены выросли, а скидку за годовую подписку убрали. Получается переплата 20% к прошлому году.",2025-11-28,smb
R079,8,"Канбан-доска для сделок — визуально понятно, кто на каком этапе.",2025-11-28,smb
R080,2,"Заказ потерялся. Трек-номер не отслеживается. Поддержка говорит 'ждите'. Чего ждать?",2025-11-28,individual
R081,6,"Продукт толковый, но обучающих материалов мало. YouTube-канал обновлялся последний раз в 2024.",2025-11-29,smb
R082,9,"Интеграция с WhatsApp — наконец. Переписка с клиентами прямо в CRM.",2025-11-29,enterprise
R083,3,"Попросил вернуть деньги за неиспользованный месяц. Ответ: 'Возврат не предусмотрен условиями'. Прочитал условия — предусмотрен.",2025-11-29,smb
R084,7,"История звонков сохраняется автоматически. Удобно слушать записи перед встречей.",2025-11-30,enterprise
R085,4,"Обновили дизайн, стало красивее, но привычные кнопки переехали. Неделю искал, куда дели экспорт.",2025-11-30,smb
R086,10,"Настроили сквозную автоматизацию: лид → квалификация → сделка → счёт. Руками почти ничего не делаем.",2025-11-30,enterprise
R087,1,"Поддержка закрыла мой тикет как 'решённый', хотя проблема осталась. Написал заново — закрыли опять. Издевательство.",2025-12-01,enterprise
R088,5,"Обычный сервис. Работает. Не больше, не меньше.",2025-12-01,smb
R089,8,"Для ресторана — отличное решение. Бронирования, отзывы, клиентская база — всё в одном.",2025-12-01,smb
R090,2,"Цена за пользователя неоправданно высокая. 10 менеджеров — 150 тысяч в месяц. За CRM. Серьёзно?",2025-12-02,enterprise
R091,6,"Графики в отчётах красивые, но не интерактивные. Нельзя кликнуть и провалиться в данные.",2025-12-02,enterprise
R092,9,"Автоматическая дедупликация контактов — спасение. Раньше база была помойкой.",2025-12-02,smb
R093,3,"Курьер позвонил 'буду через 10 минут', приехал через 3 часа. Без извинений.",2025-12-03,individual
R094,4,"Документация на английском, часть — на русском. Перевод машинный, половина терминов неправильная.",2025-12-03,smb
R095,7,"IP-телефония подключилась без проблем. Звонки пишутся, прослушать можно в карточке клиента.",2025-12-03,enterprise
R096,10,"Ваш product-менеджер реально слушает фидбэк. Предложил фичу в апреле — в ноябре она в проде.",2025-12-04,enterprise
R097,0,"Данные утекли. Получил письмо от конкурента с предложением нашим клиентам. Совпадение? Не верю.",2025-12-04,enterprise
R098,5,"Серединка на половинку.",2025-12-04,smb
R099,8,"Шаблоны договоров и счетов — экономят кучу времени. Раньше всё делали в Word вручную.",2025-12-05,smb
R100,2,"Поддержка отвечает копипастой из базы знаний. Мой вопрос — нестандартный, но это их не волнует.",2025-12-05,smb
R101,3,"Доставка опоздала на неделю, а компенсация — купон на 200 рублей. Спасибо, разбогатею.",2025-12-05,individual
R102,9,"Гибкая система ролей и прав доступа. Стажёр видит только свои сделки, руководитель — всё.",2025-12-06,enterprise
R103,7,"Импорт из amoCRM прошёл гладко. Думал, будет хуже.",2025-12-06,smb
R104,6,"Неплохо, но чат внутри системы тормозит. Иногда сообщения приходят с задержкой 5–10 минут.",2025-12-06,enterprise
R105,4,"Повысили цены — ладно. Но могли хотя бы добавить что-то новое. А тут просто дороже и всё.",2025-12-07,smb
R106,1,"Написал в чат поддержки. Робот спросил 'Чем могу помочь?', я ответил, робот написал 'Спасибо за обращение!' и закрыл диалог.",2025-12-07,individual
R107,10,"Перенесли весь отдел маркетинга. UTM-разметка, лид-скоринг, email-цепочки — наконец всё в одной системе.",2025-12-07,enterprise
R108,8,"Календарь встреч с синхронизацией с Google Calendar — базовая вещь, но работает без глюков, и это ценно.",2025-12-08,smb
R109,5,"Не хорошо, не плохо. Пользуемся по инерции.",2025-12-08,enterprise
R110,3,"Курьер оставил посылку у двери, не позвонив. В подъезде нет домофона. Посылку украли.",2025-12-08,individual
R111,2,"Звоню в поддержку — 'все операторы заняты, среднее время ожидания 45 минут'. Каждый раз.",2025-12-09,smb
R112,9,"Webhooks + Zapier = автоматизация без программиста. Собрали 15 сценариев за месяц.",2025-12-09,enterprise
R113,7,"Удобная группировка задач по проектам. Наш проджект-менеджер доволен.",2025-12-09,enterprise
R114,6,"Продукт неплохой, но онбординг слабый. Разбирались сами по YouTube-видео трёхлетней давности.",2025-12-10,smb
R115,4,"После обновления тарифов наш план подорожал на 8000 в месяц. За те же функции.",2025-12-10,enterprise
R116,10,"Ваш виджет на сайт приносит 30% заявок. Установили за 5 минут, работает безупречно.",2025-12-10,smb
R117,8,"Сегментация клиентов по RFM — не ожидал от CRM такого уровня аналитики.",2025-12-11,enterprise
R118,1,"Обращался 5 раз за месяц. Проблема одна — оплата не проходит. 5 раз услышал 'мы передали разработчикам'.",2025-12-11,smb
R119,3,"Товар пришёл не тот. Оформил замену — прислали опять не тот. Два раза.",2025-12-11,individual
R120,5,"Есть потенциал, но пока не дотягивает. Много сырых функций.",2025-12-12,smb
R121,7,"Понравилось, что можно настроить воронку под свой бизнес, а не подстраиваться под шаблон.",2025-12-12,smb
R122,9,"Двухфакторная аутентификация и журнал действий — безопасность на уровне. Для финтеха это принципиально.",2025-12-12,enterprise
R123,2,"Пришло SMS 'ваш заказ доставлен'. Никто не приходил, посылки нет. Курьер говорит — отметил по ошибке.",2025-12-13,individual
R124,6,"Интерфейс перегружен. Для нашей маленькой компании половина кнопок не нужна, но спрятать их нельзя.",2025-12-13,smb
R125,4,"Поддержка отвечает шаблонами. Конкретный вопрос — конкретного ответа не дождёшься.",2025-12-13,enterprise
R126,8,"Генерация QR-кодов для визиток прямо из карточки контакта — мелочь, а приятно.",2025-12-14,smb
R127,10,"Связка CRM + телеграм-бот + аналитика заменила нам 3 отдельных сервиса. Экономия 40 000 в месяц.",2025-12-14,enterprise
R128,3,"Доставку перенесли 3 раза. Каждый раз за час до приезда. Я три раза отпрашивался с работы.",2025-12-14,individual
R129,5,"Работает. Не более.",2025-12-15,smb
R130,7,"Email-трекинг — вижу, когда клиент открыл письмо. Удобно понимать, пора ли звонить.",2025-12-15,smb
R131,9,"Аудит прав доступа показал, что у 4 бывших сотрудников был активный доступ. Спасибо за инструмент.",2025-12-15,enterprise
R132,2,"Ответили на мой тикет через 6 дней. Шесть. Проблема к тому моменту решилась сама — мигрировали к конкуренту.",2025-12-16,smb
R133,4,"Привязка оплаты к доллару при рублёвых доходах — отдельная боль. Курс скачет, бюджет непредсказуемый.",2025-12-16,enterprise
R134,8,"Отчёты по звонкам менеджеров: длительность, результат, конверсия. Руководитель отдела говорит, что это лучший инструмент контроля.",2025-12-16,enterprise
R135,6,"UX нуждается в доработке. Пять кликов до базовой операции — это слишком.",2025-12-17,smb
R136,1,"Биллинг списывает деньги за удалённых пользователей. Обнаружил через 4 месяца. Вернули только за последний.",2025-12-17,enterprise
R137,10,"Ваш sales-инженер Дмитрий помог настроить интеграцию с нашим самописным складом. Потратил на нас 5 часов. Это дорогого стоит.",2025-12-17,enterprise
R138,3,"Посылка прошла 3000 км за 2 дня, а последние 5 км до двери — ещё 8 дней.",2025-12-18,individual
R139,7,"Мультивалютность — хорошо. Работаем с клиентами из СНГ, всё корректно считается.",2025-12-18,enterprise
R140,5,"Не могу сказать ничего особенного. Сервис как сервис.",2025-12-18,smb
R141,9,"Перенесли 50 000 контактов — ни одного потерянного. Миграция прошла как по маслу.",2025-12-19,enterprise
R142,2,"Техподдержка по email — единственный канал. Ни чата, ни телефона. В 2025 году это смешно.",2025-12-19,smb
R143,4,"Цена росла 3 раза за год. Общий рост — 45%. Зарплаты сотрудников столько не растут.",2025-12-19,enterprise
R144,8,"Для рекрутингового агентства — хороший выбор. Воронки под каждую вакансию, автоматические письма кандидатам.",2025-12-20,smb
R145,6,"Интеграция с телефонией периодически отваливается. Раз в 2 недели приходится переподключать.",2025-12-20,enterprise
R146,3,"Привезли заказ мокрым — коробка промокла насквозь. Содержимое испорчено. Компенсация — ноль.",2025-12-20,individual
R147,7,"Удобные фильтры для сегментации: по дате последней покупки, среднему чеку, источнику.",2025-12-21,smb
R148,10,"Скрипты продаж прямо в интерфейсе — менеджер видит подсказки во время звонка. Конверсия выросла на 18%.",2025-12-21,enterprise
R149,1,"Обратился за помощью в интеграции. Получил ссылку на документацию, которая устарела на 2 версии. Спасибо за 'помощь'.",2025-12-21,smb
R150,5,"Пользуюсь, потому что уже всё настроено. Переезд страшнее, чем терпеть.",2025-12-22,smb
R151,9,"IP-телефония + CRM + скрипты = менеджер тратит на 40% меньше времени на каждый звонок.",2025-12-22,enterprise
R152,8,"Система лояльности для клиентов настраивается без программиста. Бонусные баллы, скидки, уровни.",2025-12-22,smb
R153,4,"Поддержка работает до 18:00 по Москве. Наши клиенты во Владивостоке. Считайте сами.",2025-12-23,enterprise
R154,2,"Заказ разбили при доставке. Оформление претензии — 14 пунктов, 3 фото, акт, заявление. Чтобы получить 1500 рублей компенсации.",2025-12-23,individual
R155,7,"Аналитика по источникам лидов помогла перераспределить бюджет. Отключили 2 неэффективных канала.",2025-12-23,enterprise
R156,6,"Были на вебинаре по новым функциям. Половина 'новых функций' — баги, которые наконец починили.",2025-12-24,enterprise
R157,3,"С начала года тариф подорожал дважды. Если так пойдёт, через год уйдём.",2025-12-24,smb
R158,10,"Отчёт по эффективности менеджеров — кто сколько звонков сделал, сколько сделок закрыл. Прозрачность.",2025-12-24,enterprise
R159,5,"Ни рыба ни мясо.",2025-12-25,smb
R160,8,"Bulk-email не попадает в спам — проверяли на 5 почтовых провайдерах. Репутация домена не страдает.",2025-12-25,enterprise
R161,4,"Интерфейс управления тарифом — лабиринт. Чтобы отключить доп. опцию, нужно написать в поддержку.",2025-12-25,smb
R162,1,"Три месяца не могут решить проблему с интеграцией. Каждый ответ — 'мы работаем над этим'. Работайте быстрее.",2025-12-26,enterprise
R163,9,"Карточка клиента содержит всю историю: звонки, письма, сделки, документы. Один экран — полная картина.",2025-12-26,enterprise
R164,7,"Для интернет-магазина — подходящее решение. Товары, заказы, клиенты связаны между собой.",2025-12-26,smb
R165,2,"Оператор поддержки нагрубил. Я задал вопрос, получил 'уже отвечали, читайте FAQ'. Тон был хамский.",2025-12-27,individual
R166,6,"Есть полезные функции, но добираться до них через 7 уровней меню — удовольствие ниже среднего.",2025-12-27,smb
R167,3,"Доставка по Москве — 7 дней. По Москве. Я живу в 5 км от склада.",2025-12-27,individual
R168,10,"Автоматические цепочки писем: клиент оставил заявку → получил приветствие → через 3 дня кейс → через неделю предложение. Без участия менеджера.",2025-12-28,enterprise
R169,8,"Простой и понятный интерфейс для базовых задач. Не перегружен.",2025-12-28,smb
R170,4,"Документация разбросана: часть на сайте, часть в Notion, часть в PDF. Ищешь ответ — теряешь час.",2025-12-28,smb
R171,5,"Стандартно.",2025-12-29,smb
R172,9,"За 2 года ни одной утечки данных, ни одного незапланированного простоя. В нашей отрасли (медицина) это принципиально.",2025-12-29,enterprise
R173,2,"Написал в поддержку по-русски — ответили по-английски. Написал снова по-русски — снова по-английски. Ау?",2025-12-29,smb
R174,7,"Удобно, что при звонке сразу всплывает карточка клиента. Не нужно спрашивать 'а вы кто?'",2025-12-30,smb
R175,3,"Оплатил годовую подписку. Через месяц вышел новый тариф дешевле, с теми же функциями. Перейти нельзя. Разницу не вернут.",2025-12-30,smb
R176,6,"Отчёты есть, но кастомизировать их нельзя. Либо по их шаблону, либо никак.",2025-12-30,enterprise
R177,10,"Ваш менеджер Светлана — лучший клиентский менеджер, с которым я работал. Отвечает за минуты, решает за часы.",2025-12-31,enterprise
R178,1,"Новогодние подарки клиентам отправили 25 декабря. Клиенты получили 15 января. Новогодний подарок. 15 января.",2025-12-31,smb
R179,8,"Гибкие права доступа: маркетолог видит свои отчёты, продажник — свои сделки, директор — всё.",2025-12-31,enterprise
R180,4,"Каждое обновление — рулетка. То кнопки переедут, то отчёт сломается, то фильтры слетят.",2025-12-31,smb
R181,9,"Система скоринга лидов работает точно. 80% сделок приходят из лидов с оценкой 8+.",2026-01-02,enterprise
R182,5,"Сойдёт.",2026-01-02,individual
R183,3,"Курьер пришёл в 7 утра, хотя интервал был 14–18. Разбудил весь дом.",2026-01-02,individual
R184,7,"Импорт данных из Google Sheets по расписанию — удобно для актуализации базы.",2026-01-03,smb
R185,2,"Пишу в чат поддержки — очередь 87 человек. Звоню — 'в настоящее время все операторы заняты'. Пишу на email — ответ через 4 дня.",2026-01-03,enterprise
R186,10,"Виджет обратного звонка конвертирует 12% посетителей сайта в заявки. Потрачено на настройку — 20 минут.",2026-01-03,smb
R187,6,"Мобильная версия: можно посмотреть, нельзя нормально работать. Для галочки.",2026-01-04,smb
R188,8,"Интеграция с Telegram — каждая заявка сразу в CRM. Менеджер отвечает из CRM, клиент видит ответ в Telegram.",2026-01-04,smb
R189,4,"Цена подписки: 12 000 в месяц за 5 пользователей. У конкурента — 7 000 за 10. Математика простая.",2026-01-04,smb
R190,1,"При миграции потеряли историю переписки за 2 года. Обещали восстановить — уже 3 месяца 'восстанавливают'.",2026-01-05,enterprise
R191,9,"Workflow-автоматизация: сделка перешла в 'подписание' → автоматически создаётся задача юристу. Не забудешь.",2026-01-05,enterprise
R192,7,"Нравится возможность прикреплять файлы к сделкам. КП, договор, акт — всё рядом.",2026-01-05,smb
R193,3,"Отправили 2 одинаковых заказа вместо одного. Возврат лишнего — за мой счёт. Логика?",2026-01-06,individual
R194,5,"Ожидал большего за такие деньги.",2026-01-06,enterprise
R195,8,"Отчёт по конверсии на каждом этапе воронки — видно, где теряем клиентов.",2026-01-06,enterprise
R196,2,"Поддержка предлагает 'перезагрузить браузер' в ответ на любую проблему. Серьёзные специалисты.",2026-01-07,smb
R197,6,"Базовые функции на месте. Но для роста компании нужно что-то более гибкое.",2026-01-07,smb
R198,10,"Мы ведём 200 проектов одновременно. Без вашей CRM это был бы хаос. С ней — управляемый хаос.",2026-01-07,enterprise
R199,4,"Новый тариф 'Бизнес' дороже на 60%, а отличий от старого 'Про' — новый логотип.",2026-01-08,smb
R200,3,"Доставка: трек-номер показывает 'отправлено', а на деле товар ещё на складе. Классика.",2026-01-08,individual
R201,7,"Система напоминаний гибкая. За час, за день, за неделю до задачи — настраиваешь как хочешь.",2026-01-08,smb
R202,9,"Пайплайн с автоматическими стадиями — менеджерам не нужно помнить, что делать следующим. Система подсказывает.",2026-01-09,enterprise
R203,1,"Техподдержка перезванивает только тем, кто оставил негативный отзыв. Получается, чтобы решить вопрос, сначала надо ругаться.",2026-01-09,enterprise
R204,8,"Интеграция с Яндекс.Метрикой — видим полный путь клиента от рекламы до покупки.",2026-01-09,enterprise
R205,5,"Более-менее.",2026-01-10,smb
R206,6,"Хотелось бы видеть больше готовых шаблонов для разных отраслей. Строительство, например, не покрыто.",2026-01-10,smb
R207,4,"Поддержка решает проблему в среднем за 5 дней. Пять рабочих дней. На дворе не 2005 год.",2026-01-10,enterprise
R208,2,"Заказал доставку на дом. Курьер приехал, сказал 'тяжёлый, поднимать не буду' и уехал. Посылка 8 кг.",2026-01-11,individual
R209,10,"За год использования окупились в 7 раз. ROI посчитали — по экономии времени менеджеров и росту конверсии.",2026-01-11,enterprise
R210,3,"Привезли заказ в помятой коробке, внутри всё вперемешку. Хрупкий товар — без пупырки.",2026-01-11,individual
R211,9,"Интеллектуальный поиск: вбиваешь 'Иванов из Ростова, который звонил в пятницу' — находит. Раньше рылись по базе 10 минут.",2026-01-12,enterprise
R212,7,"Для небольшого бизнеса — хватает. Без лишней сложности.",2026-01-12,smb
R213,8,"Регулярные обновления без поломок — приятно. Последние 3 релиза прошли незаметно (в хорошем смысле).",2026-01-12,enterprise
R214,4,"UX явно проектировали инженеры, а не дизайнеры. Логика есть, интуитивность — нет.",2026-01-13,smb
R215,1,"Телефон поддержки — платный. 8-800 нет. Я плачу за подписку И за звонок в поддержку. Оригинально.",2026-01-13,smb
R216,6,"Работает стабильно, но медленно. Каждый клик — 2–3 секунды ожидания.",2026-01-13,enterprise
R217,3,"Цена за дополнительное хранилище — грабёж. 10 ГБ — 3 000 ₽ в месяц. У Google 100 ГБ за 140 ₽.",2026-01-14,smb
R218,10,"Лучшее в сервисе — люди. Менеджер, инженер, саппорт — все компетентные и вежливые.",2026-01-14,enterprise
R219,5,"Не хватает wow-эффекта. Просто CRM.",2026-01-14,smb
R220,9,"Кастомные поля с формулами: автоматический расчёт маржи, скидки, бонусов. Без Excel.",2026-01-15,enterprise
R221,2,"Каждый раз при обращении в поддержку просят прислать скриншоты. Отправляю. 'Пришлите ещё раз в другом формате.' Цирк.",2026-01-15,smb
R222,7,"Массовая рассылка с персонализацией: имя, компания, последний заказ — в каждом письме. Выглядит как личное.",2026-01-15,smb
R223,8,"Для риэлторского агентства — отлично. Объекты на карте, фильтр по параметрам, автоматические подборки клиентам.",2026-01-16,smb
R224,4,"Приложение требует обновления каждую неделю. И каждое обновление весит 200 МБ. Зачем?",2026-01-16,smb
R225,3,"Доставка 'до двери' оказалась доставкой 'до пункта выдачи в 3 км от дома'. Определения у нас разные.",2026-01-16,individual
R226,6,"API есть, но лимиты жёсткие. 100 запросов в час — для интеграции с сайтом не хватает.",2026-01-17,enterprise
R227,10,"Триггерные email-цепочки: клиент бросил корзину → через час письмо → через день SMS → через 3 дня звонок менеджера. Возврат 23% корзин.",2026-01-17,enterprise
R228,1,"Оплатил тариф на год вперёд. Через 2 месяца убрали из тарифа 3 функции, которые я использовал. Пересчёт? Нет.",2026-01-17,smb
R229,5,"Ничего нового не скажу. CRM как CRM.",2026-01-18,smb
R230,9,"Инструмент планирования задач с привязкой к сделкам — видно загрузку каждого менеджера. Распределяем работу справедливо.",2026-01-18,enterprise
R231,7,"Удобно, что есть встроенный чат между сотрудниками. Не нужен отдельный мессенджер для рабочих вопросов.",2026-01-18,smb
R232,2,"Подписку не можешь отменить через личный кабинет. Только через звонок. Звонишь — ждёшь 30 минут.",2026-01-19,individual
R233,4,"Мобильное приложение зависает при скроллинге длинных списков. 500+ контактов — и всё, приехали.",2026-01-19,smb
R234,8,"Отслеживание конкурентов через уведомления: кто-то упомянул нашу компанию — сразу знаем.",2026-01-19,enterprise
R235,3,"Посылка пришла вскрытой. Часть содержимого отсутствует. Разбирательство идёт уже месяц.",2026-01-20,individual
R236,6,"Продукт годный, но ощущение, что развитие замедлилось. Roadmap не обновлялся с лета.",2026-01-20,enterprise
R237,10,"Ваш onboarding-менеджер Илья — профи. Провёл нас за руку через настройку, ответил на 50 вопросов, ни разу не раздражился.",2026-01-20,enterprise
R238,9,"Генератор коммерческих предложений: выбираешь услуги, клиента, подставляются цены, условия, реквизиты. PDF за 30 секунд.",2026-01-21,enterprise
R239,7,"Резервное копирование данных ежедневно. Тестировали восстановление — работает.",2026-01-21,enterprise
R240,4,"Поддержка просит 'очистить кэш браузера' при любой проблеме. Как 'перезагрузите компьютер' в 2003 году.",2026-01-21,smb
R241,5,"Серединка.",2026-01-22,smb
R242,2,"Курьер позвонил в домофон, подождал 30 секунд и уехал. Я бежал из душа. Теперь доставка через 3 дня.",2026-01-22,individual
R243,8,"Интеграция с 1С:Бухгалтерия — счета и акты формируются автоматически. Бухгалтер счастлив.",2026-01-22,enterprise
R244,3,"Каждый квартал — новый 'тарифный план'. Старый исчезает, новый дороже. Нельзя просто оставить как было?",2026-01-23,smb
R245,1,"Обратная связь: написал предложение по улучшению 8 месяцев назад. Ответ: 'Передадим в продукт'. С тех пор — тишина. И проблема осталась.",2026-01-23,enterprise
